iter	Passed	Remaining
0	172	172730
1	174	86839
2	174	58147
3	175	43791
4	177	35235
5	180	29882
6	183	26033
7	185	22961
8	186	20490
9	186	18510
10	187	16890
11	188	15542
12	189	14400
13	192	13523
14	195	12832
15	196	12074
16	197	11407
17	198	10811
18	199	10279
19	199	9799
20	200	9362
21	201	8961
22	202	8598
23	203	8266
24	204	7961
25	204	7675
26	205	7410
27	206	7161
28	206	6930
29	207	6714
30	208	6515
31	209	6324
32	209	6149
33	210	5985
34	211	5828
35	212	5681
36	212	5542
37	213	5412
38	214	5287
39	215	5167
40	216	5053
41	216	4945
42	217	4839
43	218	4738
44	218	4644
45	219	4553
46	220	4464
47	220	4381
48	221	4300
49	222	4223
50	222	4146
51	223	4075
52	224	4006
53	224	3940
54	225	3876
55	226	3814
56	226	3753
57	227	3694
58	228	3639
59	228	3585
60	229	3534
61	230	3485
62	231	3438
63	231	3390
64	232	3346
65	233	3302
66	234	3260
67	234	3214
68	235	3174
69	235	3135
70	236	3096
71	237	3058
72	237	3021
73	238	2986
74	239	2951
75	239	2917
76	240	2884
77	241	2852
78	241	2820
79	242	2791
80	243	2763
81	244	2735
82	245	2707
83	245	2680
84	246	2651
85	247	2625
86	247	2597
87	248	2571
88	248	2547
89	249	2523
90	250	2499
91	251	2477
92	251	2454
93	252	2432
94	253	2413
95	254	2391
96	254	2370
97	255	2350
98	256	2330
99	256	2311
100	257	2292
101	257	2270
102	258	2252
103	259	2234
104	260	2217
105	260	2199
106	261	2182
107	262	2165
108	262	2148
109	263	2134
110	264	2118
111	265	2103
112	266	2088
113	266	2072
114	267	2058
115	268	2042
116	268	2028
117	269	2014
118	270	1999
119	270	1986
120	271	1972
121	272	1959
122	272	1944
123	273	1931
124	274	1919
125	275	1907
126	275	1895
127	276	1881
128	276	1869
129	277	1858
130	278	1847
131	279	1836
132	280	1825
133	280	1814
134	281	1805
135	282	1796
136	283	1788
137	284	1777
138	285	1767
139	286	1757
140	286	1747
141	287	1737
142	288	1729
143	289	1720
144	290	1710
145	290	1701
146	291	1691
147	292	1682
148	293	1673
149	294	1666
150	294	1657
151	295	1649
152	296	1640
153	297	1632
154	297	1623
155	298	1615
156	299	1606
157	299	1598
158	300	1589
159	301	1581
160	301	1572
161	302	1564
162	303	1558
163	304	1551
164	305	1544
165	305	1536
166	306	1529
167	307	1521
168	308	1515
169	309	1509
170	309	1502
171	310	1495
172	311	1488
173	311	1481
174	312	1474
175	313	1467
176	314	1460
177	314	1453
178	315	1446
179	316	1439
180	316	1431
181	317	1425
182	318	1420
183	318	1414
184	319	1408
185	320	1402
186	321	1396
187	322	1390
188	324	1391
189	325	1387
190	326	1381
191	326	1375
192	327	1369
193	328	1364
194	329	1358
195	329	1353
196	330	1348
197	331	1342
198	332	1337
199	333	1333
200	334	1328
201	334	1322
202	335	1317
203	336	1312
204	338	1312
205	340	1310
206	340	1306
207	341	1301
208	342	1297
209	343	1292
210	344	1288
211	345	1284
212	346	1279
213	346	1274
214	347	1269
215	348	1265
216	349	1261
217	350	1257
218	351	1252
219	352	1248
220	352	1243
221	353	1240
222	354	1236
223	355	1231
224	356	1227
225	357	1223
226	358	1220
227	359	1215
228	359	1211
229	360	1206
230	361	1202
231	361	1197
232	362	1193
233	363	1189
234	364	1187
235	365	1183
236	366	1178
237	366	1174
238	367	1171
239	368	1167
240	369	1163
241	369	1158
242	370	1154
243	371	1150
244	372	1146
245	372	1142
246	373	1138
247	374	1134
248	374	1130
249	375	1127
250	376	1123
251	377	1120
252	378	1118
253	379	1115
254	380	1112
255	381	1109
256	382	1106
257	383	1103
258	384	1101
259	385	1098
260	386	1095
261	387	1091
262	388	1087
263	388	1084
264	389	1080
265	390	1077
266	391	1074
267	392	1071
268	393	1068
269	393	1065
270	394	1061
271	395	1058
272	396	1055
273	397	1053
274	398	1050
275	400	1051
276	402	1049
277	403	1047
278	404	1046
279	408	1049
280	409	1046
281	410	1046
282	413	1046
283	414	1045
284	419	1053
285	422	1054
286	423	1051
287	424	1048
288	425	1046
289	426	1044
290	428	1044
291	429	1041
292	432	1043
293	433	1040
294	434	1037
295	435	1035
296	439	1041
297	441	1039
298	441	1036
299	442	1033
300	443	1030
301	446	1032
302	447	1030
303	448	1027
304	450	1026
305	451	1023
306	452	1020
307	453	1018
308	454	1015
309	455	1012
310	455	1010
311	456	1007
312	457	1004
313	459	1003
314	460	1000
315	461	998
316	462	995
317	462	992
318	463	989
319	464	987
320	466	986
321	467	984
322	469	984
323	470	982
324	471	979
325	472	976
326	473	973
327	474	971
328	474	968
329	475	965
330	476	963
331	477	960
332	478	957
333	478	954
334	479	952
335	480	949
336	481	947
337	482	944
338	482	941
339	483	939
340	484	936
341	485	933
342	486	931
343	486	928
344	487	925
345	488	922
346	488	919
347	489	916
348	490	914
349	490	911
350	491	908
351	492	906
352	493	904
353	494	901
354	494	899
355	495	896
356	496	893
357	497	891
358	498	890
359	499	888
360	500	885
361	501	883
362	501	880
363	502	877
364	503	875
365	504	874
366	506	873
367	507	870
368	508	868
369	508	866
370	509	863
371	510	861
372	511	859
373	512	857
374	513	856
375	515	854
376	515	852
377	516	849
378	517	847
379	518	845
380	518	843
381	519	841
382	520	838
383	521	836
384	522	834
385	523	832
386	523	829
387	525	828
388	526	827
389	528	827
390	529	825
391	530	823
392	532	821
393	533	819
394	533	817
395	534	815
396	535	813
397	536	811
398	537	809
399	538	807
400	539	806
401	540	804
402	541	802
403	542	800
404	543	798
405	544	796
406	545	795
407	546	793
408	547	791
409	548	789
410	549	787
411	550	785
412	551	783
413	552	781
414	552	779
415	553	777
416	554	775
417	555	772
418	556	771
419	557	769
420	558	767
421	559	765
422	559	763
423	560	761
424	561	759
425	562	757
426	563	755
427	564	753
428	564	751
429	565	749
430	566	747
431	567	745
432	568	743
433	568	741
434	569	739
435	570	738
436	571	736
437	572	734
438	573	732
439	574	731
440	575	729
441	576	727
442	577	725
443	578	723
444	579	722
445	579	720
446	580	718
447	581	716
448	582	714
449	583	712
450	584	710
451	584	709
452	586	707
453	587	706
454	588	704
455	588	702
456	589	700
457	590	698
458	591	696
459	592	695
460	593	693
461	594	691
462	595	690
463	595	688
464	596	686
465	597	684
466	598	682
467	599	681
468	600	679
469	601	678
470	602	677
471	603	675
472	604	673
473	605	672
474	606	670
475	607	668
476	608	666
477	608	664
478	609	663
479	610	661
480	611	659
481	612	657
482	612	655
483	613	654
484	614	652
485	615	650
486	616	649
487	617	647
488	618	646
489	619	644
490	619	642
491	620	640
492	621	638
493	621	636
494	622	635
495	623	633
496	624	631
497	625	630
498	625	628
499	626	626
500	627	624
501	628	623
502	629	621
503	630	620
504	631	619
505	632	617
506	633	616
507	634	614
508	635	612
509	635	611
510	636	609
511	637	607
512	638	606
513	639	604
514	640	603
515	641	601
516	642	600
517	644	599
518	645	598
519	646	597
520	648	595
521	649	594
522	650	593
523	651	592
524	652	590
525	653	589
526	657	590
527	660	590
528	662	589
529	663	588
530	664	586
531	665	585
532	666	583
533	668	583
534	670	582
535	671	581
536	672	579
537	675	579
538	677	579
539	681	580
540	682	579
541	683	577
542	684	576
543	685	574
544	686	573
545	687	571
546	688	570
547	689	568
548	690	567
549	691	565
550	692	564
551	693	562
552	694	561
553	695	559
554	696	558
555	697	556
556	698	555
557	699	553
558	700	552
559	701	550
560	701	549
561	702	547
562	703	546
563	704	544
564	705	543
565	706	541
566	707	539
567	708	538
568	708	536
569	709	535
570	710	533
571	711	532
572	712	530
573	712	529
574	713	527
575	714	525
576	715	524
577	715	522
578	716	521
579	717	519
580	718	518
581	719	516
582	720	515
583	721	513
584	721	512
585	722	510
586	723	508
587	724	507
588	725	505
589	726	504
590	726	503
591	727	501
592	728	499
593	729	498
594	729	496
595	730	495
596	731	493
597	732	492
598	733	490
599	733	489
600	734	487
601	735	486
602	735	484
603	736	483
604	737	481
605	738	479
606	738	478
607	739	476
608	740	475
609	740	473
610	741	472
611	742	470
612	742	468
613	743	467
614	744	465
615	745	464
616	745	462
617	746	461
618	747	459
619	748	458
620	748	457
621	749	455
622	750	454
623	751	452
624	751	451
625	752	449
626	752	447
627	753	446
628	754	444
629	755	443
630	755	441
631	756	440
632	757	439
633	757	437
634	758	436
635	759	434
636	760	433
637	760	431
638	761	430
639	762	428
640	762	427
641	763	425
642	764	424
643	764	422
644	765	421
645	766	419
646	767	418
647	768	417
648	769	416
649	770	415
650	771	413
651	772	412
652	773	411
653	774	409
654	775	408
655	776	407
656	777	405
657	777	404
658	778	402
659	779	401
660	780	400
661	781	398
662	782	397
663	783	396
664	783	394
665	784	393
666	785	392
667	786	390
668	786	389
669	787	387
670	788	386
671	789	385
672	789	383
673	790	382
674	791	381
675	792	379
676	792	378
677	793	376
678	794	375
679	794	374
680	795	372
681	796	371
682	797	370
683	797	368
684	798	367
685	799	365
686	800	364
687	800	363
688	801	361
689	802	360
690	802	359
691	803	357
692	804	356
